구,동코드,동이름,저지대%(절대50m),저지대%(상대하위20%),취약점수
광산구,29200101,송정동,100.0,100.0,100.0
광산구,29200110,황룡동,100.0,100.0,100.0
광산구,29200103,도호동,100.0,100.0,100.0
광산구,29200102,도산동,100.0,100.0,100.0
광산구,29200148,송촌동,100.0,100.0,100.0
남구,29155117,양촌동,100.0,100.0,100.0
남구,29155116,구소동,100.0,100.0,100.0
남구,29155119,승촌동,100.0,100.0,100.0
남구,29155122,화장동,99.64,92.13,97.38699999999999
남구,29155125,신장동,100.0,89.71,96.913
동구,29110105,대의동,100.0,0.0,70.0
동구,29110133,금남로3가,100.0,0.0,70.0
동구,29110132,금남로2가,100.0,0.0,70.0
동구,29110131,금남로1가,100.0,0.0,70.0
동구,29110130,충장로4가,100.0,0.0,70.0
북구,29170130,신용동,99.12,49.78,84.318
북구,29170131,용두동,100.0,40.38,82.114
북구,29170132,지야동,97.4,36.36,79.088
북구,29170129,연제동,93.25,40.84,77.52699999999999
북구,29170140,대촌동,100.0,16.83,75.049
서구,29140117,덕흥동,100.0,97.23,99.169
서구,29140116,유촌동,100.0,94.74,98.422
서구,29140120,치평동,100.0,94.44,98.332
서구,29140131,마륵동,97.6,79.6,92.19999999999999
서구,29140129,벽진동,94.97,76.85,89.53399999999999
